Date,Close,High,Low,Open,Volume,MA20,MA50,EMA20,EMA50,RSI,OBV,Fib23,Fib38,Fib50,Fib61,OilPrice,USDINR,SP500,NewsSentiment,NewsCount
2011-06-30,92.05988311767578,92.71662364375493,89.62607358182919,89.7226498660642,4127188,85.22781677246094,82.51263702392578,86.24220748713707,84.0257314952983,72.36139138364305,50132597,3200.99777608404,2592.7081542586534,2101.076816071012,1609.445477883371,95.41999816894531,44.7599983215332,1320.6400146484375,0,0
2011-07-01,90.37295532226562,94.13312960016493,89.27194593693797,94.13312960016493,773185,85.78733558654785,82.64733383178711,86.63801493112013,84.3118336018477,61.843918301471845,49359412,3200.99777608404,2592.7081542586534,2101.076816071012,1609.445477883371,94.94000244140625,44.59299850463867,1339.6700439453125,0,0
2011-07-05,90.44377899169922,91.943983525792,89.81278661512353,91.943983525792,442994,87.0261329650879,82.9830453491211,87.40043213020094,84.88154298481756,69.55671245368838,49903604,3200.99777608404,2592.7081542586534,2101.076816071012,1609.445477883371,96.88999938964844,44.41999816894531,1337.8800048828125,0,0
2011-07-06,90.08964538574219,91.26148280355595,89.92224095602421,91.26148280355595,368344,87.49712104797364,83.13474014282227,87.65770444454456,85.11239801012259,64.75626895180521,49535260,3200.99777608404,2592.7081542586534,2101.076816071012,1609.445477883371,96.6500015258789,44.34000015258789,1339.219970703125,0,0
2011-07-07,91.56410217285156,92.00192917575374,85.64054113951582,89.32988711688878,2211344,87.90307807922363,83.31424987792968,88.03126197610632,85.3969230398628,65.37823686124719,51746604,3200.99777608404,2592.7081542586534,2101.076816071012,1609.445477883371,98.66999816894531,44.33000183105469,1353.219970703125,0,0
2011-07-08,90.52104187011719,92.34961984279681,90.23773564072607,90.8687280123571,2330861,88.28038368225097,83.51513641357423,88.26925985084773,85.62180200368701,68.63703362987278,49415743,3200.99777608404,2592.7081542586534,2101.076816071012,1609.445477883371,96.19999694824219,44.33000183105469,1343.800048828125,0,0
2011-07-11,92.17576599121094,93.74679854422536,89.91579663770734,91.28723481184501,2215402,88.59716529846192,83.7386865234375,88.64255114682511,85.90809449696309,71.3653328828371,51631145,3200.99777608404,2592.7081542586534,2101.076816071012,1609.445477883371,95.1500015258789,44.41299819946289,1319.489990234375,0,0
2011-07-12,90.86227416992188,94.3520252153377,90.16046014101218,92.07274328535154,1226181,88.779056930542,83.95322235107422,88.85459220542529,86.12354233422205,67.14664358155665,50404964,3200.99777608404,2592.7081542586534,2101.076816071012,1609.445477883371,97.43000030517578,44.349998474121094,1313.6400146484375,0,0
2011-07-13,91.42244720458984,91.79588786288498,90.35362787623302,90.9202339055033,784067,89.14606056213378,84.19621719360352,89.09981830800207,86.35300127127316,68.87737854504297,51189031,3200.99777608404,2592.7081542586534,2101.076816071012,1609.445477883371,98.05000305175781,44.560001373291016,1317.719970703125,0,0
2011-07-14,92.05988311767578,92.57497372636531,90.96530916442197,91.64781063072415,688559,89.46670646667481,84.47552581787109,89.38242625825806,86.59912088129144,60.74772771946921,51877590,3200.99777608404,2592.7081542586534,2101.076816071012,1609.445477883371,95.69000244140625,44.45000076293945,1308.8699951171875,0,0
2011-07-15,92.15001678466797,92.71661641002045,91.43532541597706,92.45907112576931,571854,89.73165779113769,84.72598937988282,89.64659579700111,86.8375806693827,57.66130140054349,52449444,3200.99777608404,2592.7081542586534,2101.076816071012,1609.445477883371,97.23999786376953,44.400001525878906,1316.1400146484375,0,0
2011-07-18,91.99547576904297,92.69728976790017,91.66066694990434,92.69728976790017,367946,90.07741317749023,84.96512084960938,89.87075121153723,87.05833132403669,57.429675635579734,52081498,3200.99777608404,2592.7081542586534,2101.076816071012,1609.445477883371,95.93000030517578,44.507999420166016,1305.43994140625,0,0
2011-07-19,94.17820739746094,95.29209409730584,91.55767418483062,91.55767418483062,3798602,90.51910591125488,85.24288452148437,90.28173586941777,87.36196411638413,64.11584167900865,55880100,3200.99777608404,2592.7081542586534,2101.076816071012,1609.445477883371,97.5,44.5,1326.72998046875,0,0
2011-07-20,94.4679183959961,95.5367375956212,93.74679169441873,94.96369620822415,2246347,90.99073677062988,85.51639831542968,90.68107991786428,87.66396729826765,59.19361510005535,58126447,3200.99777608404,2592.7081542586534,2101.076816071012,1609.445477883371,98.13999938964844,44.369998931884766,1325.8399658203125,0,0
2011-07-21,92.66511535644531,94.37136262665581,92.07276115150744,94.17176180922809,1244279,91.3809196472168,85.72771484375,90.87031864360978,87.87582038299418,58.67446461300728,56882168,3200.99777608404,2592.7081542586534,2101.076816071012,1609.445477883371,99.12999725341797,44.369998931884766,1343.800048828125,0,0
2011-07-22,94.97657775878906,95.27919664675736,93.10292636166761,93.10292636166761,656597,91.67484436035156,85.97985275268555,91.26192073695242,88.17567169431128,62.75800483029692,57538765,3200.99777608404,2592.7081542586534,2101.076816071012,1609.445477883371,99.87000274658203,44.29999923706055,1345.02001953125,0,0
2011-07-25,96.63131713867188,97.09490505813758,94.01078426789512,94.49368487870339,1241004,91.99677696228028,86.27693206787109,91.77391853280666,88.53166493007345,69.92945920030826,58779769,3200.99777608404,2592.7081542586534,2101.076816071012,1609.445477883371,99.19999694824219,44.34299850463867,1337.4300537109375,0,0
2011-07-26,98.03495025634766,98.7045680261181,96.57337749628147,96.57337749628147,1990193,92.39404220581055,86.60208404541015,92.37086837371977,88.93061392113991,73.97048892195211,60769962,3200.99777608404,2592.7081542586534,2101.076816071012,1609.445477883371,99.58999633789062,44.310001373291016,1331.93994140625,0,0
2011-07-27,97.86753845214844,98.38907084234485,96.57980565889768,98.06069740966788,4375662,92.78873100280762,86.94243148803712,92.89488582691341,89.30475274274421,70.64527285012333,56394300,3200.99777608404,2592.7081542586534,2101.076816071012,1609.445477883371,97.4000015258789,44.04999923706055,1304.8900146484375,0,0
2011-07-28,95.87800598144531,97.84823405397375,94.84138288210293,97.73878049982707,3347250,92.9796371459961,87.24801040649415,93.17925030465656,89.57921097036652,66.52106721480578,53047050,3200.99777608404,2592.7081542586534,2101.076816071012,1609.445477883371,97.44000244140625,44.029998779296875,1300.6700439453125,0,0
