Date,Close,High,Low,Open,Volume,MA20,MA50,EMA20,EMA50,RSI,OBV,Fib23,Fib38,Fib50,Fib61,OilPrice,USDINR,SP500,NewsSentiment,NewsCount
2011-06-30,5.539022445678711,5.621666701143586,5.467275682349686,5.467275682349686,1133513,5.393681621551513,5.60884313583374,5.3922312226510085,5.483150051399003,49.29924904740475,-13377467,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,95.41999816894531,44.7599983215332,1320.6400146484375,0,0
2011-07-01,5.638015270233154,5.803305140932339,5.404611718568671,5.67615850367917,747750,5.396461629867554,5.594547681808471,5.415782201681486,5.490130625355042,52.021655322206854,-12629717,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,94.94000244140625,44.59299850463867,1339.6700439453125,0,0
2011-07-05,5.618034362792969,5.8577956946761445,5.576711787074579,5.712486282808897,1287180,5.412089562416076,5.569162168502808,5.460519843793855,5.505195117243684,59.093430473576475,-11949177,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,96.88999938964844,44.41999816894531,1337.8800048828125,0,0
2011-07-06,5.689327716827393,5.707946033783315,5.549921893024144,5.549921893024144,547663,5.412701296806335,5.556473512649536,5.482409491598501,5.513357002833497,70.30195849541511,-11401514,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,96.6500015258789,44.34000015258789,1339.219970703125,0,0
2011-07-07,5.8160176277160645,5.848712327228332,5.63256368933462,5.63256368933462,3524460,5.421657228469849,5.546211471557617,5.5143114740653525,5.5267045651401165,72.61911965258999,-7877054,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,98.66999816894531,44.33000183105469,1353.219970703125,0,0
2011-07-08,5.779691219329834,5.855070176579683,5.703857624219611,5.830549149863446,2247470,5.432771468162537,5.53684853553772,5.539679104161608,5.537807230503697,76.59126465498133,-10124524,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,96.19999694824219,44.33000183105469,1343.800048828125,0,0
2011-07-11,5.806936264038086,5.8123852327015415,5.703403630815388,5.703403630815388,714711,5.444019865989685,5.529513158798218,5.56521721110037,5.5495634168620915,76.01447873460039,-9409813,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,95.1500015258789,44.41299819946289,1319.489990234375,0,0
2011-07-12,5.737462043762207,5.776059921625579,5.594877303830766,5.632566351344428,1398030,5.453067302703857,5.527746229171753,5.58167105524038,5.557734770236803,78.56062881165681,-10807843,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,97.43000030517578,44.349998474121094,1313.6400146484375,0,0
2011-07-13,6.220615386962891,6.617037809852575,5.766976336536496,5.766976336536496,85803529,5.495382952690124,5.538250484466553,5.642689231221036,5.58643954705896,84.42720065295974,74995686,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,98.05000305175781,44.560001373291016,1317.719970703125,0,0
2011-07-14,6.42404842376709,6.502606735120784,6.175660119901121,6.221069532970652,53722630,5.557047724723816,5.55572624206543,5.717288381583374,5.6225629460764495,85.41708373226565,128718316,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,95.69000244140625,44.45000076293945,1308.8699951171875,0,0
2011-07-15,6.51623010635376,6.566180106296886,6.275560830761106,6.425411722037411,13078576,5.622182750701905,5.574259634017944,5.793548241884654,5.660953808627884,84.84736804917685,141796892,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,97.23999786376953,44.400001525878906,1316.1400146484375,0,0
2011-07-18,6.550286769866943,6.610680964505163,6.511689344944646,6.548016254449723,15546718,5.69429042339325,5.5908660793304445,5.865764379130636,5.699016008344163,84.53736365883323,157343610,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,95.93000030517578,44.507999420166016,1305.43994140625,0,0
2011-07-19,6.705132484436035,7.083845429484667,6.521678504764507,6.568905133438632,21430014,5.77125985622406,5.611355409622193,5.945850489982348,5.741922647717118,84.20329836266315,178773624,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,97.5,44.5,1326.72998046875,0,0
2011-07-20,6.604779243469238,6.85453018258416,6.493526199882148,6.806850688809877,5034885,5.848682403564453,5.630695152282715,6.008709496818428,5.778594068214993,82.1069032052689,173738739,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,98.13999938964844,44.369998931884766,1325.8399658203125,0,0
2011-07-21,6.464463233947754,6.629753080508325,6.375460734585338,6.629753080508325,3568718,5.917392134666443,5.645379667282104,6.052179615744218,5.807648096767837,74.29266631252443,170170021,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,99.12999725341797,44.369998931884766,1343.800048828125,0,0
2011-07-22,6.604323863983154,6.63701857188196,6.475361801247617,6.538934448185544,6931998,5.988494968414306,5.662950706481934,6.104836020849824,5.841290180400828,75.29513278079168,177102019,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,99.87000274658203,44.29999923706055,1345.02001953125,0,0
2011-07-25,6.588430881500244,6.669713010021377,6.529853014125249,6.669713010021377,9019008,6.05089840888977,5.680704097747803,6.150949118899386,5.8727457372242755,78.62320175733467,168083011,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,99.19999694824219,44.34299850463867,1337.4300537109375,0,0
2011-07-26,6.411789417266846,6.7005924051447225,6.3672888269258285,6.534848331980242,4307925,6.101075673103333,5.697443428039551,6.175818594329248,5.895374851778921,70.0631379341395,163775086,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,99.58999633789062,44.310001373291016,1331.93994140625,0,0
2011-07-27,6.4040703773498535,6.573446651464026,6.358206764490149,6.4117894172393,3616681,6.14137647151947,5.712322387695313,6.197578662937833,5.9166710755337615,67.48596286255516,160158405,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,97.4000015258789,44.04999923706055,1304.8900146484375,0,0
2011-07-28,6.29372501373291,6.493525015422393,6.266478829591397,6.402706630234689,2360790,6.17911159992218,5.726995191574097,6.206743767061854,5.932414506044982,64.64051256128808,157797615,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,97.44000244140625,44.029998779296875,1300.6700439453125,0,0
2011-07-29,6.363201141357422,6.399528494710452,6.176569151787584,6.176569151787584,623005,6.2153708934783936,5.7435666275024415,6.221656701414451,5.950355943037482,65.47114521051395,158420620,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,95.69999694824219,44.0099983215332,1292.280029296875,0,0
2011-08-01,6.4494781494140625,6.502606599989808,6.293724552236401,6.358205578705332,1261140,6.252402186393738,5.76390007019043,6.243370095969001,5.97109298479225,69.61960817702881,159681760,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,94.88999938964844,44.202999114990234,1286.93994140625,0,0
2011-08-02,6.4653706550598145,6.491708006267172,6.302805517605301,6.302805517605301,4390162,6.29476900100708,5.785810756683349,6.264527211999167,5.991580986065766,59.083233792548164,164071922,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,93.79000091552734,44.0629997253418,1254.050048828125,0,0
2011-08-03,6.257397174835205,6.454927565462611,6.112087749092238,6.1765696759264985,2888281,6.323172473907471,5.804660587310791,6.263847748073603,6.0025746028041915,43.83609577011899,161183641,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,91.93000030517578,44.26300048828125,1260.3399658203125,0,0
2011-08-04,6.195186138153076,6.399073405614953,6.175659886239188,6.2664782632186045,1103870,6.342130899429321,5.822203674316406,6.257304950990223,6.010523595058991,37.856366768825865,160079771,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,86.62999725341797,44.3129997253418,1200.0699462890625,0,0
2011-08-05,6.265117168426514,6.330052392086383,5.912286481450231,6.093924143969232,2337323,6.366402196884155,5.834830541610717,6.258049341874492,6.021009022722947,39.49833847139369,162417094,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,86.87999725341797,44.5629997253418,1199.3800048828125,0,0
2011-08-08,6.1588592529296875,6.22016093772422,5.903205201543587,6.039433000172332,2891677,6.3839983463287355,5.848404836654663,6.248598414514168,6.026675221437372,29.13630466344344,159525417,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,81.30999755859375,44.733001708984375,1119.4599609375,0,0
2011-08-09,6.093924045562744,6.255126175847157,5.849621678682775,6.0394330151210625,17176226,6.401821446418762,5.860117721557617,6.233861523192967,6.029434208605125,29.946484826136512,142349191,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,79.30000305175781,45.00299835205078,1172.530029296875,0,0
2011-08-10,6.338225364685059,6.357296979721406,6.094377196026899,6.094377196026899,11405222,6.40770194530487,5.874010257720947,6.243804598774583,6.042079944363405,45.418578620679625,153754413,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,82.88999938964844,45.202999114990234,1120.760009765625,0,0
2011-08-11,6.239687442779541,6.420416724791169,6.09392427626545,6.09392427626545,455546,6.3984838962554935,5.88564621925354,6.243412357973293,6.050158413739874,36.357434370292346,153298867,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,85.72000122070312,45.24800109863281,1172.6400146484375,0,0
2011-08-12,6.433583736419678,6.582072468708031,6.1779297320570725,6.456288885358922,4428656,6.394351577758789,5.9026695919036865,6.261529380000404,6.065807307781547,44.88749394663213,157727523,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,85.37999725341797,45.292999267578125,1178.81005859375,0,0
2011-08-16,6.370466709136963,6.4926181283420545,6.26829573768889,6.448116201713988,2479257,6.38536057472229,5.920395631790161,6.271907194591773,6.078221661478597,48.52510688124608,155248266,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,86.6500015258789,45.233001708984375,1192.760009765625,0,0
2011-08-17,6.294632434844971,6.511689063836735,6.197002504736568,6.448115526345985,2559538,6.364835572242737,5.935685014724731,6.27407203747332,6.087026538809272,46.27505284533844,152688728,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,87.58000183105469,45.25299835205078,1193.8900146484375,0,0
2011-08-18,6.11617374420166,6.375460872439229,5.966323753866363,6.375460872439229,2698178,6.340405297279358,5.94446662902832,6.259030746114561,6.088210679477271,44.2244717905701,149990550,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,82.37999725341797,45.303001403808594,1140.6500244140625,0,0
2011-08-19,5.791043281555176,6.0666773083536345,5.703403805213613,6.039432464203266,7260432,6.306734299659729,5.9475495147705075,6.21445150504713,6.076154897561857,34.04248980896769,142730118,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,82.26000213623047,45.709999084472656,1123.530029296875,0,0
2011-08-22,5.790589332580566,5.85597784770127,5.67752044753984,5.85597784770127,740339,6.266047573089599,5.9522131729125975,6.174076298949664,6.064585447327305,30.69960728486849,141989779,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,84.12000274658203,45.66299819946289,1123.8199462890625,0,0
2011-08-23,5.975405216217041,5.994023530746715,5.712486320532982,5.794222642386351,1210192,6.23539628982544,5.960081911087036,6.155152113757656,6.060977070185282,36.94020669291339,143199971,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,85.44000244140625,45.61000061035156,1162.3499755859375,0,0
2011-08-24,5.807846546173096,6.103005997953636,5.74881403180406,6.075760702100948,1168610,6.205199146270752,5.965108575820923,6.122070443021832,6.050747742761825,37.75359841379863,142031361,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,85.16000366210938,45.540000915527344,1177.5999755859375,0,0
2011-08-25,5.73927640914917,5.8587030947739756,5.721566926493622,5.8587030947739756,2449923,6.171959447860718,5.972408056259155,6.085608932222239,6.038175819650037,37.62324816985335,139581438,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,85.30000305175781,45.939998626708984,1159.27001953125,0,0
2011-08-26,5.650729179382324,5.885041100865949,5.594876017970936,5.6489128562710444,770496,6.139809656143188,5.981607580184937,6.044186739252485,6.022555225858079,33.487877837989956,138810942,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,85.37000274658203,46.0099983215332,1176.800048828125,0,0
2011-08-29,5.556732177734375,5.83009572858203,5.477720558347937,5.685240498742247,11102005,6.099486207962036,5.988471632003784,5.997757349949383,6.003795405096885,33.71004112635647,127708937,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,87.2699966430664,46.15299987792969,1210.0799560546875,0,0
2011-08-30,5.587610244750977,5.721567527724407,5.394620900999132,5.594421790668146,4884923,6.056392812728882,5.998061170578003,5.958691803914439,5.987052315091378,36.04501796192183,132593860,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,88.9000015258789,45.849998474121094,1212.9200439453125,0,0
2011-09-02,5.711122512817383,5.786956108498876,5.521765842545551,5.676157295304156,3211260,6.01868040561676,6.008968744277954,5.935111637060054,5.975962932073991,31.4829051308825,135805120,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,86.44999694824219,45.70000076293945,1173.969970703125,0,0
2011-09-06,5.679337024688721,5.712486369932433,5.533118780468258,5.675250631997999,1198047,5.9637805938720705,6.033128547668457,5.888356977047491,5.952475165727018,23.826020652319954,135889004,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,86.0199966430664,45.98400115966797,1165.239990234375,0,0
2011-09-07,5.714756488800049,5.847804932687654,5.613493028436963,5.613493028436963,1091931,5.936262559890747,6.043778333663941,5.87182248629073,5.942948200723178,26.79945740933202,136980935,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,89.33999633789062,46.040000915527344,1198.6199951171875,0,0
2011-09-08,5.749720573425293,5.776966754104169,5.648912200964551,5.721566899881244,1603262,5.915805625915527,6.051965503692627,5.860193025736819,5.9352109487315365,30.145535780369286,138584197,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,89.05000305175781,46.040000915527344,1185.9000244140625,0,0
2011-09-09,5.929542064666748,6.057596195122607,5.723838444777674,5.723838444777674,4918168,5.907586526870728,6.06239146232605,5.86679805938738,5.9349841418068445,43.20661559818475,143502365,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,87.23999786376953,46.130001068115234,1154.22998046875,0,0
2011-09-12,5.843718528747559,5.939532581573151,5.768339559540519,5.903205227873252,6188880,5.882861185073852,6.067304744720459,5.864599899465801,5.9313355819672955,52.321884074785906,137313485,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,88.19000244140625,46.643001556396484,1162.27001953125,0,0
2011-09-13,5.762890338897705,5.965870597980864,5.683424522429275,5.964961767738392,1063935,5.859021329879761,6.071782102584839,5.85491283851307,5.924606708268019,48.85983792893227,136249550,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,90.20999908447266,47.15999984741211,1172.8699951171875,0,0
2011-09-14,5.743363857269287,5.830550040505126,5.731103787761782,5.784232241372505,337594,5.824510335922241,6.073889074325561,5.844288693241888,5.917371899717842,38.94415757436962,135911956,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,88.91000366210938,47.459999084472656,1188.6800537109375,0,0
2011-09-15,5.738368988037109,5.811477434640643,5.721566998040848,5.811477434640643,406965,5.7929054498672485,6.07447940826416,5.8342007304757235,5.9102315175984295,46.082868285118685,135504991,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,89.4000015258789,47.560001373291016,1209.1099853515625,0,0
2011-09-16,5.721567153930664,5.7942223017968075,5.686148187211636,5.721567153930664,406965,5.764252185821533,6.076550064086914,5.82347336547941,5.902710812000802,48.93965945992553,135098026,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,87.95999908447266,47.5,1216.010009765625,0,0
2011-09-19,5.821467876434326,5.883224643704567,5.751991624686168,5.81102368448984,2057779,5.749516892433166,6.079192867279053,5.823282360760222,5.899474328948066,60.08584367977457,137155805,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,85.69999694824219,47.16999816894531,1204.0899658203125,0,0
2011-09-20,5.791043281555176,5.892306294280477,5.749720708854373,5.771971222064785,380513,5.749516892433166,6.078693380355835,5.820211888452285,5.89515743291478,64.96516555952553,136775292,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,86.88999938964844,47.722999572753906,1202.0899658203125,0,0
2011-09-21,5.865060806274414,5.939532730096019,5.785140804425557,5.903205375487724,1514335,5.753240466117859,6.080400772094727,5.824483319448805,5.893959929661788,66.79494018136097,138289627,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,85.91999816894531,47.90999984741211,1166.760009765625,0,0
2011-09-22,5.707945823669434,5.885041575680518,5.676158606625267,5.853255250083349,1695380,5.739867496490478,6.078420963287353,5.813384262324007,5.886562923005305,49.81522222702981,136594247,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,80.51000213623047,48.209999084472656,1129.56005859375,0,0
2011-09-23,5.937262058258057,6.04851463452965,5.648912852921823,5.694322267847293,2500665,5.746338272094727,6.082416963577271,5.825182386167337,5.888577908018257,62.44073162901249,139094912,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,79.8499984741211,49.472999572753906,1136.4300537109375,0,0
2011-09-26,5.7928595542907715,5.992207139632091,5.676158011440676,5.992207139632091,480248,5.749017429351807,6.073861846923828,5.822103964919059,5.884775689103913,54.75643817553394,138614664,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,80.23999786376953,49.34299850463867,1162.949951171875,0,0
2011-09-27,5.779237747192383,5.866877235478004,5.746088846080662,5.812386202580622,1739947,5.75544285774231,6.060965633392334,5.818021400430049,5.880585532485661,52.75194276450719,136874717,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,84.44999694824219,49.400001525878906,1175.3800048828125,0,0
2011-09-28,5.750629901885986,5.865515575704299,5.685694676066413,5.830550351249879,686200,5.76513774394989,6.045653629302978,5.81160306637194,5.8754284364699085,50.039020186142864,136188517,843.4773660241267,683.2345500898999,553.7232331019633,424.2119161140266,81.20999908447266,48.810001373291016,1151.06005859375,0,0
