Date,Close,High,Low,Open,Volume,MA20,MA50,EMA20,EMA50,RSI,OBV,Fib23,Fib38,Fib50,Fib61,OilPrice,USDINR,SP500,NewsSentiment
2021-03-15,723.9500732421875,733.3034332122131,717.6276870525,733.3034332122131,12230386,,,723.9500732421875,723.9500732421875,,0,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,65.38999938964844,72.68299865722656,3968.93994140625,0.17771599999999999
2021-03-16,716.1358642578125,729.5147207460253,715.1176388389844,725.0156362632634,13722366,,,719.8476135253907,719.9648266601563,,-13722366,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,64.80000305175781,72.51529693603516,3962.7099609375,0.17771599999999999
2021-03-17,708.1795043945312,728.8516234041614,705.7405156649922,721.8662033617888,21064428,,,715.5631538029019,715.8782217790883,,-34786794,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,64.5999984741211,72.5156021118164,3974.1201171875,0.17771599999999999
2021-03-18,706.1194458007812,720.8243708649012,701.4546172951518,715.9463931517981,18065540,,,712.8369013151325,713.2902341895274,,-52852334,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,60.0,72.29560089111328,3915.4599609375,0.17771599999999999
2021-03-19,709.1978149414062,715.6859454495183,698.0922028335087,703.2779667365531,21235020,,,711.9566372892809,712.4049891725949,,-31617314,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,61.41999816894531,72.6688003540039,3913.10009765625,0.17771599999999999
2021-03-22,695.7715454101562,707.9664315664949,691.6276520560606,707.9664315664949,14015632,,,708.5423221957473,709.348287605554,,-45632946,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,61.54999923706055,72.40499877929688,3940.590087890625,0.17771599999999999
2021-03-23,710.4526977539062,713.9098537543666,695.7477745153468,696.1740150663642,19761428,,,708.9035269285417,709.5256107604885,,-25871518,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,57.7599983215332,72.38050079345703,3910.52001953125,0.17771599999999999
2021-03-24,700.3417358398438,713.4363936460627,696.6477274847226,706.0721372637486,16368900,,,707.4235783176579,708.2106210177872,,-42240418,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,61.18000030517578,72.61219787597656,3889.139892578125,0.17771599999999999
2021-03-25,693.0247192382812,708.2742816057414,686.8207304085842,705.7405405403921,23964356,,,705.1139309143376,706.2410114969903,,-66204774,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,58.560001373291016,72.64559936523438,3909.52001953125,0.17771599999999999
2021-03-26,706.261474609375,709.9080773660381,698.0683829469915,707.5401384822288,12021258,,,705.2867410515345,706.2434453361016,,-54183516,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,60.970001220703125,72.61280059814453,3974.5400390625,0.17771599999999999
2021-03-30,735.8133544921875,740.0046528436594,711.1157965428214,713.5310828024924,25607644,,,709.6426697607067,709.5007481928153,,-28575872,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,60.54999923706055,72.74189758300781,3958.550048828125,0.17771599999999999
2021-03-31,707.3744506835938,733.1139368392285,704.698667969491,733.1139368392285,30774506,,,709.3336744613272,709.2820390623502,,-59350378,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,59.15999984741211,73.44529724121094,3972.889892578125,0.17771599999999999
2021-04-01,704.106689453125,710.0975869218903,693.8061543963869,710.0975869218903,35763762,,,708.6496501366586,708.7815593177847,,-95114140,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,61.45000076293945,73.20349884033203,4019.8701171875,0.17771599999999999
2021-04-05,686.5128173828125,703.2778359432572,677.7040964544115,700.9098971016974,16006586,,,705.8523899920204,706.7451423777843,,-111120726,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,58.650001525878906,73.3759994506836,4077.909912109375,0.17771599999999999
2021-04-06,682.0848388671875,692.6932173036304,678.4855830970582,691.4381980531808,15075734,,,702.939722914485,704.6019651853051,37.154873365238906,-126196460,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,59.33000183105469,73.27950286865234,4073.93994140625,0.17771599999999999
2021-04-07,685.376220703125,689.8753046696546,673.2287402423026,681.6349234429235,25088180,,,700.8445685170548,703.0071547174788,40.292889447042604,-101108280,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,59.77000045776367,73.48999786376953,4079.949951171875,0.17771599999999999
2021-04-08,678.5567016601562,691.8645088213298,677.467426469423,688.123153205223,17613592,,,698.2482896030804,701.0639341248227,40.58409131650444,-118721872,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,59.599998474121094,74.40149688720703,4097.169921875,0.17771599999999999
2021-04-09,673.3234252929688,678.5565933792059,670.1740549980798,675.3361733552125,28157816,,,695.4052466138648,698.9445599035431,39.781585745451885,-146879688,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,59.31999969482422,74.54450225830078,4128.7998046875,0.17771599999999999
2021-04-12,647.4182739257812,662.54938215217,640.7643417097112,659.7078551379362,22549128,,,690.0327794345624,695.1490849120424,33.14814309184348,-169428816,924.059287700228,864.3968131418944,816.1764569920084,767.9561008421224,59.70000076293945,74.72949981689453,4127.990234375,0.17771599999999999
